Q106571940,[deutscher Handballspieler]
Q55900198,[deutscher Jurist und Politiker]
Q106571935,[Mitglied des Provinziallandtages der Provinz Hessen-Nassau ]
Q21170021,[niederländischer Genremaler]
Q9306370,[polnische und deutsche Handballspielerin]
Q95225726,[deutscher evangelischer Theologe]
Q106573310,[Schweizer evangelischer Theologe und Alttestamentler]
Q106572599,[deutscher Schauspieler, Regisseur und Dozent]
Q106573312,[luxemburgisch-belgischer römisch-katholischer Geistlicher und Märtyrer]
Q2832563,[sowjetischer Kanute]
Q55899372,[deutscher Jurist und Bibliothekar]
Q106573313,[Mitglied des Provinziallandtages der Provinz Hessen-Nassau]
Q4798849,[irischer Peer, Politiker und Jurist]
Q106580784,[ deutsche Juristin, ehemalige Richterin und Gerichtspräsidentin]
Q325544,[britischer Radrennfahrer]
Q106574156,[österreichische Bildungswissenschaftlerin]
Q55134426,[deutscher Historiker und Verwaltungsjurist]
Q18715887,[nischer Prinz
|GE]
Q106574314,[deutscher Maler, Grafiker und Bildhauer]
Q11648950,[japanischer Soziologe]
Q106574421,[belgischer römisch-katholischer Geistlicher und Märtyrer]
Q106574635,[deutscher Rechtswissenschaftler]
Q106574636,[deutscher Liedtexter und Sänger]
Q6082351,[osmanischer Prinz]
Q20030612,[anadischer Volleyballspieler
]
Q94834717,[deutscher Kunsthistoriker]
Q106575214,[hessischer Ritter]
Q4291089,[haitianische First Lady (1980–1986)]
Q106283191,[lettische Diplomatin]
Q2492353,[niederländischer Schriftsteller und Übersetzer]
Q61747693,[französischer Mittelstreckenläufer]
Q18753005,[estnischer Politiker und Unternehmer]
Q95346625,[deutscher Theater- und Hörspielautor, Librettist und Schauspielpädagoge]
Q26212073,[belgischer Mittelstreckenläufer]
Q22113620,[ürkischer Hydrobiologe und Herpetologe
]
Q24067756,[estnischer Politiker]
Q106576253,[niederländischer Leichtathlet]
Q100775150,[US-amerikanischer Basketballspieler]
Q4254047,[sowjetische Volleyballspielerin]
Q23915909,[schwedischer Leichtathlet]
Q106581378,[deutscher Kapitän, Sachverständiger für Schiffsunfälle und Autor]
Q12359190,[estnischer Politiker]
Q620903,[russischer Kanute]
Q841421,[ungarischer Mittelstreckenläufer]
Q106576254,[deutscher Hotelier]
Q106576705,[deutscher Autor, Webvideoproduzent und ehemaliger Soldat]
Q106576622,[deutscher Unternehmer]
Q59139896,[belgischer Sprinter]
Q106576621,[deutscher Fußballfunktionär]
Q20954210,[spanischer Sprinter]
Q11999339,[spanischer Sprinter]
Q106224882,[japanischer Fußballspieler]
Q85584169,[japanischer Fußballspieler]
Q17917703,[britischer Komponist, Arrangeur und Pianist]
Q92670344,[japanischer Fußballspieler]
Q106580792,[Fechtmeister]
Q106578138,[polnischer Geiger und Komponist]
Q92672880,[japanischer Fußballspieler]
Q106578135,[belgischer römisch-katholischer Geistlicher, Weißer Vater und Märtyrer]
Q92666985,[japanischer Fußballspieler]
Q92682585,[japanischer Fußballspieler]
Q92682667,[japanischer Fußballspieler]
Q92683806,[japanischer Fußballspieler]
Q106581379,[deutscher Landwirt und Ministerialbeamter]
Q11190899,[US-amerikanischer Geophysiker]
Q95213100,[deutsche Lehrerin und Schriftstellerin]
Q4419104,[sowjetischer Kanute]
Q20040844,[japanischer Gelehrter]
Q106875179,[schweizerische Performancekünstlerin]
Q15998045,[US-amerikanischer Varietékünstler, Sänger und Schauspieler]
Q106588397,[Schweizer Manager]
Q19690311,[polnischer Theologe]
Q106581284,[niederländischer römisch-katholischer Geistlicher, Weißer Vater und Märtyrer]
Q106581558,[deutscher Polizeibeamter]
Q106581381,[deutscher Architekt und Maler]
Q106581382,[deutscher Jurist]
Q106581437,[deutscher Jurist]
Q1186372,[US-amerikanischer Geschäftsmann und Investor]
Q106582498,[deutscher Rechtswissenschaftler]
Q106582184,[deutscher Müller und Politiker, MdL]
Q106582499,[deutscher Fabrikant und Politiker, MdL]
Q4896077,[britische Sängerin]
Q106583089,[deutscher Maschinenbauingenieur und Hochschullehrer]
